,adresse.adresse_nom_voie,adresse.adresse_numero,adresse.adresse_suffixe,adresse.code_commune,adresse.code_postal,adresse.nom_commune,is_land_surface_recalculated,is_sale_price_recalculated,location.coordinates,mutation.date_mutation,nombre_pieces_principales,prix_surface,surface.surface_reelle_bati,surface.surface_terrain,type.code_type_local,valeur_fonciere
70,RUE DE LA COURNEUVE,31,,93001,93300,Aubervilliers,False,True,"[2.383857, 48.917448]",2017-04-27T12:00:00Z,4,725,82,0,1,59467
71,ALL DES HYDRANGELLES,11,,94076,94800,Villejuif,False,True,"[2.360596, 48.807061]",2017-04-27T12:00:00Z,4,650,102,180,1,66289
72,CHE DE LA TOUR CARREE,1,,94076,94800,Villejuif,True,True,"[2.350632, 48.797335]",2017-04-27T12:00:00Z,4,748,81,218,1,60579
73,VLA MAILLOT,3,,92051,92200,Neuilly-sur-Seine,False,False,"[2.262522, 48.880314]",2017-04-19T12:00:00Z,8,9305,360,210,1,3349700
74,RUE PIERRE DEMOURS,9,,75117,75017,Paris 17e Arrondissement,False,False,"[2.291731, 48.88014]",2017-04-14T12:00:00Z,6,11786,140,0,1,1650000
75,PAS MACHOUART,13,,93001,93300,Aubervilliers,False,False,"[2.373569, 48.916817]",2017-04-11T12:00:00Z,2,5641,39,79,1,220000
76,CHE DU MARCREUX,6,,93001,93300,Aubervilliers,False,False,"[2.373548, 48.918612]",2017-03-31T12:00:00Z,4,2987,77,328,1,230000
77,RUE FRANCOIS PINSON,22,,92020,92320,Châtillon,False,False,"[2.281173, 48.80739]",2017-03-09T12:00:00Z,3,7625,80,311,1,610000
78,RUE DE LA CROIX NIVERT,10,,75115,75015,Paris 15e Arrondissement,False,False,"[2.30021, 48.847382]",2017-02-10T12:00:00Z,5,10798,174,192,1,1878800
79,RUE HUDRI,48,,92026,92400,Courbevoie,False,False,"[2.268197, 48.901017]",2017-01-30T12:00:00Z,3,12222,45,258,1,550000
80,VLA DE L INDUSTRIE,37,B,93070,93400,Saint-Ouen-sur-Seine,False,False,"[2.331986, 48.908393]",2017-01-27T12:00:00Z,5,6278,90,91,1,565000
81,RUE DU BAC,26,,92004,92600,Asnières-sur-Seine,False,False,"[2.280161, 48.912693]",2016-12-01T12:00:00Z,6,9541,218,0,1,2080000
82,AV VICTOR HUGO,133,,93001,93300,Aubervilliers,False,False,"[2.37809, 48.909596]",2016-11-24T12:00:00Z,5,4615,130,297,1,600000
83,RUE ADOLPHE GUYOT,5,,92009,92270,Bois-Colombes,False,False,"[2.278428, 48.91785]",2016-11-04T12:00:00Z,3,4537,70,0,1,317600
84,IMP GASTON,5,,92023,92140,Clamart,False,False,"[2.270573, 48.806055]",2016-11-04T12:00:00Z,5,8000,110,212,1,880000
85,RUE SAINT FERDINAND,12,,75117,75017,Paris 17e Arrondissement,False,False,"[2.289654, 48.878862]",2016-10-27T12:00:00Z,6,14167,240,0,1,3400000
86,BD MORTIER,19,,75120,75020,Paris 20e Arrondissement,False,False,"[2.408451, 48.86606]",2016-10-12T12:00:00Z,4,13731,67,134,1,920000
87,RUE MOLIERE,18,,94081,94400,Vitry-sur-Seine,False,False,"[2.378074, 48.800919]",2016-09-28T12:00:00Z,5,4830,101,213,1,487800
88,BD JACQUES DESBROSSES,13,,94003,94110,Arcueil,False,False,"[2.330324, 48.799965]",2016-09-16T12:00:00Z,4,5570,79,200,1,440000
89,RUE BLANCHARD,47,,92020,92320,Châtillon,False,False,"[2.290773, 48.796031]",2016-09-05T12:00:00Z,3,6567,67,387,1,440000
90,ALL PIERRE LOTI,9,B,92023,92140,Clamart,False,False,"[2.276779, 48.809722]",2016-08-31T12:00:00Z,7,6917,120,231,1,830000
91,RUE VICTOR HUGO,138,,92009,92270,Bois-Colombes,False,False,"[2.26801, 48.9195]",2016-07-22T12:00:00Z,3,7901,81,389,1,640000
92,RUE DE PRESLES,34,,93001,93300,Aubervilliers,False,False,"[2.393014, 48.908237]",2016-07-13T12:00:00Z,4,3245,94,200,1,305000
93,RUE DE LA PIERRE PLATE,11,B,92007,92220,Bagneux,False,False,"[2.316616, 48.807813]",2016-07-08T12:00:00Z,5,6566,99,112,1,650000
94,AV VICTOR HUGO,14,B,92075,92170,Vanves,False,False,"[2.286943, 48.822662]",2016-07-04T12:00:00Z,6,9250,200,400,1,1850000
